Neurite,ArborType,BrainRegion,Species,Archive,SeqLen,Region2,Region3,Class1,Class2,Class3,Gender,Protocol,AgeClass,Strain,ExperCond,Order,Layer,CorticalRegion,CorticalLobe
04b_pyramidal7aACC-ApicalDendrite,ApicalDendrite,Neocortex,Human,Allman,15,Anterior cingulate,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Cingulate,Limbic
05a_pyramidal10aACC-BasalDendrite,Dendrite,Neocortex,Human,Allman,8,Anterior cingulate,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Cingulate,Limbic
05a_pyramidal8aACC-BasalDendrite,Dendrite,Neocortex,Human,Allman,18,Anterior cingulate,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Cingulate,Limbic
05b_pyramidal7aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,8,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
05b_pyramidal8aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,11,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
05b_pyramidal9aACC-BasalDendrite,Dendrite,Neocortex,Human,Allman,15,Anterior cingulate,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Cingulate,Limbic
06a_pyramidal11aACC-BasalDendrite,Dendrite,Neocortex,Human,Allman,12,Anterior cingulate,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Cingulate,Limbic
06b_pyramidal10aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,9,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
06b_pyramidal12aACC-BasalDendrite,Dendrite,Neocortex,Human,Allman,14,Anterior cingulate,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Cingulate,Limbic
07a_pyramidal13aACC-BasalDendrite,Dendrite,Neocortex,Human,Allman,14,Anterior cingulate,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Cingulate,Limbic
07b_spindle9aACC-ApicalDendrite,ApicalDendrite,Neocortex,Human,Allman,8,Anterior cingulate,Not reported,Principal cell,von Economo neuron,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Cingulate,Limbic
08o_pyramidal11aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,18,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
10a_pyramidal15aACC-BasalDendrite,Dendrite,Neocortex,Human,Allman,8,Anterior cingulate,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Cingulate,Limbic
11a_pyramidal16aACC-BasalDendrite,Dendrite,Neocortex,Human,Allman,11,Anterior cingulate,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Cingulate,Limbic
11o_pyramidal12aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,9,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
17o_pyramidal13aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,12,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
18o_pyramidal14aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,17,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
20o_pyramidal15aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,15,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
22o_pyramidal16aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,10,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
