Neurite,ArborType,BrainRegion,Species,Archive,SeqLen,Region2,Region3,Class1,Class2,Class3,Gender,Protocol,AgeClass,Strain,ExperCond,Order,Layer,CorticalRegion,CorticalLobe
C170998D-I3-Dendrite,Dendrite,Neocortex,Rat,Markram,46,Somatosensory,Not reported,Interneuron,Neurogliaform cell,Not reported,NR,In vivo,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C170998D-I4-Axon,Axon,Neocortex,Rat,Markram,105,Somatosensory,Not reported,Interneuron,Basket cell,Nest,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C170998D-I4-Dendrite,Dendrite,Neocortex,Rat,Markram,29,Somatosensory,Not reported,Interneuron,Basket cell,Nest,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C180298A-I4-Axon,Axon,Neocortex,Rat,Markram,192,Somatosensory,Not reported,Interneuron,Basket cell,Large,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C180298A-I4-Dendrite,Dendrite,Neocortex,Rat,Markram,13,Somatosensory,Not reported,Interneuron,Basket cell,Large,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C180298A-P2-Axon,Axon,Neocortex,Rat,Markram,42,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C180298A-P2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,39,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C180298A-P2-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,14,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C180298B-I3-Axon,Axon,Neocortex,Rat,Markram,136,Somatosensory,Not reported,Interneuron,Martinotti cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C180298B-I3-Dendrite,Dendrite,Neocortex,Rat,Markram,32,Somatosensory,Not reported,Interneuron,Martinotti cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C180997A-P3-Axon,Axon,Neocortex,Rat,Markram,22,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C180997A-P3-BasalDendrite,Dendrite,Neocortex,Rat,Markram,16,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C180997A-P3-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,20,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C181000A-I3-Axon,Axon,Neocortex,Rat,Markram,8,Somatosensory,Not reported,Interneuron,Basket cell,Large,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C181000A-I3-Dendrite,Dendrite,Neocortex,Rat,Markram,10,Somatosensory,Not reported,Interneuron,Basket cell,Large,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C181200A2-Axon,Axon,Neocortex,Rat,Markram,77,Somatosensory,Not reported,Interneuron,Double bouquet cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C181200A2-Dendrite,Dendrite,Neocortex,Rat,Markram,44,Somatosensory,Not reported,Interneuron,Double bouquet cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190199A-I4-BasalDendrite,Dendrite,Neocortex,Rat,Markram,13,Somatosensory,Not reported,Interneuron,Basket cell,Nest,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190199A-P3-BasalDendrite,Dendrite,Neocortex,Rat,Markram,19,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190199A-P3-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,20,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190898A-I1-Axon,Axon,Neocortex,Rat,Markram,146,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190898A-I1-Dendrite,Dendrite,Neocortex,Rat,Markram,39,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190898A-P2-Axon,Axon,Neocortex,Rat,Markram,18,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190898A-P2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,13,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190898A-P2-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,30,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190898A-P3-Axon,Axon,Neocortex,Rat,Markram,13,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190898A-P3-BasalDendrite,Dendrite,Neocortex,Rat,Markram,31,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190898A-P3-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,29,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C190997A-I1-Axon,Axon,Neocortex,Rat,Markram,307,Somatosensory,Not reported,Interneuron,Martinotti cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C190997A-I1-Dendrite,Dendrite,Neocortex,Rat,Markram,36,Somatosensory,Not reported,Interneuron,Martinotti cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C190997A-P4-BasalDendrite,Dendrite,Neocortex,Rat,Markram,13,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C190997A-P4-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,13,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C200199B-I3-Axon,Axon,Neocortex,Rat,Markram,113,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C200199B-I3-Dendrite,Dendrite,Neocortex,Rat,Markram,18,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C200199B-I4-Dendrite,Dendrite,Neocortex,Rat,Markram,15,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C200897C-I1-Axon,Axon,Neocortex,Rat,Markram,178,Somatosensory,Not reported,Interneuron,Basket cell,Small,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C200897C-I1-Dendrite,Dendrite,Neocortex,Rat,Markram,25,Somatosensory,Not reported,Interneuron,Basket cell,Small,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C200897C-P2-Axon,Axon,Neocortex,Rat,Markram,19,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C200897C-P2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,14,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C200897C-P2-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,14,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C200897C-P3-Axon,Axon,Neocortex,Rat,Markram,20,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C200897C-P4-Axon,Axon,Neocortex,Rat,Markram,40,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C200897C-P4-BasalDendrite,Dendrite,Neocortex,Rat,Markram,9,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C200897C-P4-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,15,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C210301C1-Dendrite,Dendrite,Neocortex,Rat,Markram,70,Somatosensory,Not reported,Interneuron,Martinotti cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C210401C-Axon,Axon,Neocortex,Rat,Markram,115,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C210401C-Dendrite,Dendrite,Neocortex,Rat,Markram,29,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C210797A-I-Axon,Axon,Neocortex,Rat,Markram,66,Somatosensory,Not reported,Interneuron,Bipolar cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C210797A-I-BasalDendrite,Dendrite,Neocortex,Rat,Markram,9,Somatosensory,Not reported,Interneuron,Bipolar cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C210797A-I-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,11,Somatosensory,Not reported,Interneuron,Bipolar cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C210797A-P1-Axon,Axon,Neocortex,Rat,Markram,14,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C210797A-P1-BasalDendrite,Dendrite,Neocortex,Rat,Markram,14,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C210797A-P1-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,13,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220197A-P1-Axon,Axon,Neocortex,Rat,Markram,21,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C220197A-P2-Axon,Axon,Neocortex,Rat,Markram,31,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C220197A-P2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,40,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C220197A-P2-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,29,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C220197A-P3-Axon,Axon,Neocortex,Rat,Markram,12,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C220197A-P3-BasalDendrite,Dendrite,Neocortex,Rat,Markram,36,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C220197A-P3-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,34,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C220498B-I4-Axon,Axon,Neocortex,Rat,Markram,214,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220498B-I4-BasalDendrite,Dendrite,Neocortex,Rat,Markram,26,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220498B-I4-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,10,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220498B-P3-Axon,Axon,Neocortex,Rat,Markram,25,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C220498B-P3-BasalDendrite,Dendrite,Neocortex,Rat,Markram,15,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C220498B-P3-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,10,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C220797A-I2-Axon,Axon,Neocortex,Rat,Markram,69,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220797A-I2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,14,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220797A-I2-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,27,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220797A-P1-Axon,Axon,Neocortex,Rat,Markram,23,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220797A-P1-BasalDendrite,Dendrite,Neocortex,Rat,Markram,17,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220797A-P1-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,18,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220797A-P3-Axon,Axon,Neocortex,Rat,Markram,12,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220797A-P3-BasalDendrite,Dendrite,Neocortex,Rat,Markram,15,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220797A-P3-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,18,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220797A-P4-Axon,Axon,Neocortex,Rat,Markram,26,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220797A-P4-BasalDendrite,Dendrite,Neocortex,Rat,Markram,12,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C220798A-I-Axon,Axon,Neocortex,Rat,Markram,149,Somatosensory,Not reported,Interneuron,Basket cell,Large,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C230298D-P1-Axon,Axon,Neocortex,Rat,Markram,9,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C230298D-P1-BasalDendrite,Dendrite,Neocortex,Rat,Markram,11,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C230300D1-Axon,Axon,Neocortex,Rat,Markram,111,Somatosensory,Not reported,Interneuron,Basket cell,Large,M,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230300D1-Dendrite,Dendrite,Neocortex,Rat,Markram,16,Somatosensory,Not reported,Interneuron,Basket cell,Large,M,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230797B-I2-Axon,Axon,Neocortex,Rat,Markram,97,Somatosensory,Not reported,Interneuron,Chandelier cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230797B-I2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,14,Somatosensory,Not reported,Interneuron,Chandelier cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230797B-I2-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,21,Somatosensory,Not reported,Interneuron,Chandelier cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230797B-P1-BasalDendrite,Dendrite,Neocortex,Rat,Markram,12,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230797B-P1-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,20,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230797B-P4-Axon,Axon,Neocortex,Rat,Markram,23,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230797B-P4-BasalDendrite,Dendrite,Neocortex,Rat,Markram,16,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230797B-P4-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,24,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230998A-I3-Axon,Axon,Neocortex,Rat,Markram,18,Somatosensory,Not reported,Interneuron,Bipolar cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230998A-P2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,14,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C230998C-I2-Dendrite,Dendrite,Neocortex,Rat,Markram,34,Somatosensory,Not reported,Interneuron,Basket cell,Large,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C230998C-I4-Axon,Axon,Neocortex,Rat,Markram,160,Somatosensory,Not reported,Interneuron,Martinotti cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C230998C-I4-Dendrite,Dendrite,Neocortex,Rat,Markram,40,Somatosensory,Not reported,Interneuron,Martinotti cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C231001B3-Axon,Axon,Neocortex,Rat,Markram,10,Somatosensory,Not reported,Interneuron,Double bouquet cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C231001B3-Dendrite,Dendrite,Neocortex,Rat,Markram,24,Somatosensory,Not reported,Interneuron,Double bouquet cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C231296A-P3-Axon,Axon,Neocortex,Rat,Markram,25,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C231296A-P3-BasalDendrite,Dendrite,Neocortex,Rat,Markram,17,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C231296A-P3-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,51,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C231296A-P4A2-Axon,Axon,Neocortex,Rat,Markram,21,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C231296A-P4A2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,20,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C231296A-P4A2-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,12,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C231296A-P4B2-Axon,Axon,Neocortex,Rat,Markram,16,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C231296A-P4B2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,14,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C231296A-P4B2-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,12,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C240199B-I2-Axon,Axon,Neocortex,Rat,Markram,292,Somatosensory,Not reported,Interneuron,Martinotti cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C240199B-I2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,23,Somatosensory,Not reported,Interneuron,Martinotti cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C240199B-I2-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,10,Somatosensory,Not reported,Interneuron,Martinotti cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C240199B-P1-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,17,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C240199B-P2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,18,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C240199B-P2-ApicalDendrite,ApicalDendrite,Neocortex,Rat,Markram,14,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C240298B-I2-Axon,Axon,Neocortex,Rat,Markram,122,Somatosensory,Not reported,Interneuron,Basket cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C240298B-I2-Dendrite,Dendrite,Neocortex,Rat,Markram,35,Somatosensory,Not reported,Interneuron,Basket cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C240298B-I4-Axon,Axon,Neocortex,Rat,Markram,255,Somatosensory,Not reported,Interneuron,Basket cell,Large,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C240298B-I4-Dendrite,Dendrite,Neocortex,Rat,Markram,27,Somatosensory,Not reported,Interneuron,Basket cell,Large,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 4,Somatosensory,Parietal
C240300C1-Axon,Axon,Neocortex,Rat,Markram,42,Somatosensory,Not reported,Interneuron,Bipolar cell,Not reported,M,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C240300C1-Dendrite,Dendrite,Neocortex,Rat,Markram,22,Somatosensory,Not reported,Interneuron,Bipolar cell,Not reported,M,In vitro,Young,Wistar Rat,Control,Rodent,Layer 5,Somatosensory,Parietal
C240797B-I2-Axon,Axon,Neocortex,Rat,Markram,56,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C240797B-I2-BasalDendrite,Dendrite,Neocortex,Rat,Markram,13,Somatosensory,Not reported,Interneuron,Bitufted cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C240797B-P1-Axon,Axon,Neocortex,Rat,Markram,19,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
C240797B-P1-BasalDendrite,Dendrite,Neocortex,Rat,Markram,28,Somatosensory,Not reported,Principal cell,Pyramidal cell,Not reported,NR,In vitro,Young,Wistar Rat,Control,Rodent,Layer 2/3,Somatosensory,Parietal
